Reference	Locations	Value	Footprint	Notes	Manufacturer	PN	Distributor	Dist PN	Dist Link
C1	1	3.3uF	Capacitors_SMD:C_0603	25V	TDK Corporation	C1608X5R1E335K080AC	Digikey	445-14141-1-ND	https://www.digikey.com/product-detail/en/tdk-corporation/C1608X5R1E335K080AC/445-14141-1-ND/3955807
C2	1	4.7uF	Capacitors_SMD:C_1206	25V	TDK Corporation	C3216X5R1E475K160AA	Digikey	445-4047-2-ND	http://www.digikey.com/product-detail/en/tdk-corporation/C3216X5R1E475K160AA/445-4047-2-ND/1965635
C3	1	10uF	Capacitors_SMD:C_1812	25V	TDK Corporation	C4532X5R1E106M250KA	Digikey	445-3926-2-ND	http://www.digikey.com/product-detail/en/tdk-corporation/C4532X5R1E106M250KA/445-3926-2-ND/1923415
"C4, C6"	2	1uF	Capacitors_SMD:C_0603	25V	TDK Corporation	CGB3B1X5R1E105K055AC	Digikey	445-13224-2-ND	http://www.digikey.com/product-detail/en/tdk-corporation/CGB3B1X5R1E105K055AC/445-13224-2-ND/3950460
"C5, C7"	2	0.1uF	Capacitors_SMD:C_0603	25V	Kemet	C0603C104K3RACTU	Digikey	399-1281-1-ND	https://www.digikey.com/product-detail/en/kemet/C0603C104K3RACTU/399-1281-1-ND/416057
C8	1	10uF	Capacitors_Tantalum_SMD:CP_Tantalum_Case-A_EIA-3216-18_Reflow	10V	AVX Corporation	TPSA106K010R0900	Digikey	478-1751-1-ND	https://www.digikey.com/product-detail/en/avx-corporation/TPSA106K010R0900/478-1751-1-ND/564783
D1	1	D_Schottky_AAK	footprints:D_PowerDI-5		Diode Incorporated	PDS560-13	Digikey	PDS560DICT-ND	http://www.digikey.com/product-detail/en/diodes-incorporated/PDS560-13/PDS560DICT-ND/776779
D2	1	LED	footprints:LED_0603		Panasonic Electric Components	LNJ937W8CRA	Digikey	LNJ937W8CRATR-ND	http://www.digikey.com/product-detail/en/panasonic-electronic-components/LNJ937W8CRA/LNJ937W8CRACT-ND/2349027
J1	1	CONN_01X04	JST_PH_S4B-PH-SM4-TB_04x2.00mm_Angled		JST Sales America	S4B-PH-SM4-TB(LF)(SN)	Digikey	455-1751-2-ND	https://www.digikey.com/product-detail/en/jst-sales-america-inc/S4B-PH-SM4-TB-LF-SN/455-1751-2-ND/926657
J4	1	CONN_01X02	Connectors_JST:JST_PH_S2B-PH-SM4-TB_02x2.00mm_Angled		JST Sales America	S2B-PH-SM4-TB(LF)(SN)	Digikey	455-1749-2-ND	http://www.digikey.com/product-detail/en/jst-sales-america-inc/S2B-PH-SM4-TB(LF)(SN)/455-1749-2-ND/926655
L1	1	6.8uH	footprints:Sumida_L_CDRH105R		Sumida America Components	CDRH105RNP-6R8NC	Digikey	308-1927-2-ND	https://www.digikey.com/product-detail/en/sumida-america-components-inc/CDRH105RNP-6R8NC/308-1927-2-ND/3947171
P2	1	CONN_01X06	Connectors_JST:JST_PH_S6B-PH-SM4-TB_06x2.00mm_Angled		JST Sales America	S6B-PH-SM4-TB(LF)(SN)	Digikey	455-1753-2-ND	https://www.digikey.com/product-detail/en/jst-sales-america-inc/S6B-PH-SM4-TB-LF-SN/455-1753-2-ND/926659
"P3,P5,P9,P10,P11,P12,P13,P14,P15,P16"	10		Pin_Headers:Pin_Header_Straight_Pitch2.54mm	DNI					
